,,Reference Map,landclass96
,,developed,agriculture,herbaceous,shrubland,forest,water,sediment,8,9,10,11,15,18,20,21,User Accuracy,Commission Error
Classified Map,High Intensity Developed,34931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0
landuse96_28m,Low Intensity Developed,38146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Cultivated,0,2137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Managed Herbaceous Cover,0,0,25488,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Upland Herbaceous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Riverine/Estuarine Herbaceous,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Evergreen Shrubland,0,0,0,16464,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Deciduous Shrubland,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Mixed Shrubland,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Mixed Hardwoods,0,0,0,0,7893,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Bottomland Hardwoods/Hardwood Swamps,0,0,0,0,19733,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Southern Yellow Pine,0,0,0,0,64774,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Mixed Hardwoods/Conifers,0,0,0,0,33865,0,0,0,0,0,0,0,0,0,0,0.0,100.0
,Water Bodies,0,0,0,0,0,5303,0,0,0,0,0,0,0,0,0,0.0,100.0
,Unconsolidated Sediment,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0.0,100.0
,Producer Accuracy,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overall Accuracy,14.01
,Omission Error,52.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Kappa coefficient,0.09
